�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-12-27,'000795,荎醫貌,6.09,6.38,5.97,5.98,5.97,0.12,2.0101,6.1552,69781080,428163142.08,6904136187.27,6904136187.27
2019-12-26,'000795,荎醫貌,5.97,6.02,5.89,5.95,5.96,0.01,0.1678,2.2374,25365220,150755588.76,6768094094.91,6768094094.91
2019-12-25,'000795,荎醫貌,5.96,6.06,5.85,5.89,5.91,0.05,0.846,3.0965,35104199,209762815.66,6756757253.88,6756757253.88
2019-12-24,'000795,荎醫貌,5.91,5.93,5.72,5.73,5.73,0.18,3.1414,2.1627,24518283,143340041.96,6700073048.73,6700073048.73
2019-12-23,'000795,荎醫貌,5.73,5.92,5.72,5.8,5.83,-0.1,-1.7153,1.7117,19405504,113092376.36,6496009910.19,6496009910.19
2019-12-20,'000795,荎醫貌,5.83,6.07,5.83,6.0,6.01,-0.18,-2.995,2.3536,26682600,158617193.94,6609378320.49,6609378320.49
2019-12-19,'000795,荎醫貌,6.01,6.06,5.92,5.99,5.98,0.03,0.5017,2.4376,27635228,165444883.26,6813441459.03,6813441459.03
2019-12-18,'000795,荎醫貌,5.98,6.18,5.89,5.92,5.95,0.03,0.5042,4.4695,50669934,304503188.69,6779430935.94,6779430935.94
2019-12-17,'000795,荎醫貌,5.95,5.97,5.78,5.79,5.78,0.17,2.9412,4.1817,47407566,279744632.22,6745420412.85,6745420412.85
2019-12-16,'000795,荎醫貌,5.78,5.79,5.67,5.73,5.77,0.01,0.1733,1.9701,22334642,127956013.94,6552694115.34,6552694115.34
2019-12-13,'000795,荎醫貌,5.77,5.78,5.65,5.72,5.78,-0.01,-0.173,1.5921,18049200,103554358.0,6541357274.31,6541357274.31
2019-12-12,'000795,荎醫貌,5.78,5.83,5.75,5.76,5.75,0.03,0.5217,1.74,19725724,114158346.34,6552694115.34,6552694115.34
2019-12-11,'000795,荎醫貌,5.75,5.88,5.73,5.86,5.9,-0.15,-2.5424,2.1614,24504014,142047621.24,6518683592.25,6518683592.25
2019-12-10,'000795,荎醫貌,5.9,5.92,5.79,5.84,5.84,0.06,1.0274,2.7431,31098506,181998196.44,6688736207.7,6688736207.7
2019-12-09,'000795,荎醫貌,5.84,5.89,5.77,5.8,5.81,0.03,0.5164,2.0892,23684426,138336231.06,6620715161.52,6620715161.52
2019-12-06,'000795,荎醫貌,5.81,5.89,5.75,5.78,5.8,0.01,0.1724,2.4641,27934922,162731766.08,6586704638.43,6586704638.43
2019-12-05,'000795,荎醫貌,5.8,5.86,5.71,5.75,5.82,-0.02,-0.3436,2.8231,32004629,184736960.77,6575367797.4,6575367797.4
2019-12-04,'000795,荎醫貌,5.82,5.9,5.63,5.65,5.65,0.17,3.0088,4.0512,45927686,265869985.56,6598041479.46,6598041479.46
2019-12-03,'000795,荎醫貌,5.65,5.73,5.56,5.56,5.55,0.1,1.8018,1.9575,22191600,125656795.96,6405315181.95,6405315181.95
2019-12-02,'000795,荎醫貌,5.55,5.62,5.51,5.53,5.59,-0.04,-0.7156,0.9744,11047022,61340551.3,6291946771.65,6291946771.65
2019-11-29,'000795,荎醫貌,5.59,5.68,5.55,5.63,5.72,-0.13,-2.2727,1.8244,20682604,115790511.2,6337294135.77,6337294135.77
2019-11-28,'000795,荎醫貌,5.72,5.94,5.64,5.65,5.65,0.07,1.2389,3.0061,34079515,196973366.5,6484673069.16,6484673069.16
2019-11-27,'000795,荎醫貌,5.65,5.67,5.55,5.59,5.59,0.06,1.0733,1.365,15474330,87078752.82,6405315181.95,6405315181.95
2019-11-26,'000795,荎醫貌,5.59,5.66,5.5,5.54,5.55,0.04,0.7207,1.2467,14133106,78884908.52,6337294135.77,6337294135.77
2019-11-25,'000795,荎醫貌,5.55,5.71,5.51,5.56,5.63,-0.08,-1.421,1.6607,18827404,105441597.86,6291946771.65,6291946771.65
2019-11-22,'000795,荎醫貌,5.63,5.75,5.6,5.6,5.61,0.02,0.3565,2.1927,24858024,140705747.76,6382641499.89,6382641499.89
2019-11-21,'000795,荎醫貌,5.61,5.77,5.6,5.7,5.81,-0.2,-3.4423,2.7837,31558218,178475477.18,6359967817.83,6359967817.83
2019-11-20,'000795,荎醫貌,5.81,5.97,5.41,5.41,5.46,0.35,6.4103,4.6606,52836444,300011901.62,6586704638.43,6586704638.43
2019-11-19,'000795,荎醫貌,5.46,5.46,5.38,5.41,5.4,0.06,1.1111,1.1219,12718603,69078964.13,6189915202.38,6189915202.38
2019-11-18,'000795,荎醫貌,5.4,5.45,5.26,5.35,5.43,-0.03,-0.5525,1.2359,14011254,75036988.74,6121894156.2,6121894156.2
2019-11-15,'000795,荎醫貌,5.43,5.68,5.33,5.34,5.35,0.08,1.4953,2.0848,23635411,129982133.23,6155904679.29,6155904679.29
2019-11-14,'000795,荎醫貌,5.35,5.37,5.29,5.33,5.33,0.02,0.3752,0.8355,9471802,50524403.68,6065209951.05,6065209951.05
2019-11-13,'000795,荎醫貌,5.33,5.41,5.3,5.41,5.41,-0.08,-1.4787,0.7974,9039760,48336776.4,6042536268.99,6042536268.99
2019-11-12,'000795,荎醫貌,5.41,5.58,5.29,5.52,5.57,-0.16,-2.8725,1.6908,19168617,103564073.2,6133230997.23,6133230997.23
2019-11-11,'000795,荎醫貌,5.57,5.75,5.55,5.63,5.62,-0.05,-0.8897,1.6104,18256435,103177876.18,6314620453.71,6314620453.71
2019-11-08,'000795,荎醫貌,5.62,5.65,5.57,5.61,5.63,-0.01,-0.1776,1.1023,12496738,70127567.82,6371304658.86,6371304658.86
2019-11-07,'000795,荎醫貌,5.63,5.65,5.56,5.64,5.66,-0.03,-0.53,0.9952,11282602,63173193.18,6382641499.89,6382641499.89
2019-11-06,'000795,荎醫貌,5.66,5.78,5.58,5.63,5.63,0.03,0.5329,1.34,15191202,86199302.18,6416652022.98,6416652022.98
2019-11-05,'000795,荎醫貌,5.63,5.69,5.55,5.65,5.64,-0.01,-0.1773,1.0806,12251091,68780041.22,6382641499.89,6382641499.89
2019-11-04,'000795,荎醫貌,5.64,5.78,5.63,5.74,5.76,-0.12,-2.0833,1.4467,16401509,93193639.03,6393978340.92,6393978340.92
2019-11-01,'000795,荎醫貌,5.76,5.95,5.5,5.51,5.51,0.25,4.5372,2.8868,32727380,188752069.97,6530020433.28,6530020433.28
2019-10-31,'000795,荎醫貌,5.51,5.72,5.48,5.66,5.68,-0.17,-2.993,1.4015,15889080,88954411.57,6246599407.53,6246599407.53
2019-10-30,'000795,荎醫貌,5.68,5.87,5.68,5.86,5.87,-0.19,-3.2368,1.2359,14011729,80305529.3,6439325705.04,6439325705.04
2019-10-29,'000795,荎醫貌,5.87,5.99,5.87,5.99,5.95,-0.08,-1.3445,1.3801,15645663,92591489.43,6654725684.61,6654725684.61
2019-10-28,'000795,荎醫貌,5.95,5.98,5.78,5.83,5.8,0.15,2.5862,1.5313,17360483,102360385.31,6745420412.85,6745420412.85
2019-10-25,'000795,荎醫貌,5.8,5.83,5.65,5.81,5.83,-0.03,-0.5146,1.5165,17191994,98690496.22,6575367797.4,6575367797.4
2019-10-24,'000795,荎醫貌,5.83,5.95,5.82,5.94,5.93,-0.1,-1.6863,1.2054,13665100,80113896.0,6609378320.49,6609378320.49
2019-10-23,'000795,荎醫貌,5.93,6.03,5.92,6.03,6.02,-0.09,-1.495,0.8164,9255200,55263322.0,6722746730.79,6722746730.79
2019-10-22,'000795,荎醫貌,6.02,6.06,5.97,5.98,5.98,0.04,0.6689,0.8614,9765654,58703065.96,6824778300.06,6824778300.06
2019-10-21,'000795,荎醫貌,5.98,6.07,5.85,6.05,6.04,-0.06,-0.9934,1.2614,14300061,85205049.49,6779430935.94,6779430935.94
2019-10-18,'000795,荎醫貌,6.04,6.18,6.01,6.14,6.13,-0.09,-1.4682,1.1962,13561100,82246305.0,6847451982.12,6847451982.12
2019-10-17,'000795,荎醫貌,6.13,6.21,6.11,6.15,6.15,-0.02,-0.3252,0.8041,9115828,56004435.76,6949483551.39,6949483551.39
2019-10-16,'000795,荎醫貌,6.15,6.24,6.15,6.22,6.2,-0.05,-0.8065,1.0506,11910000,73767153.0,6972157233.45,6972157233.45
2019-10-15,'000795,荎醫貌,6.2,6.37,6.2,6.31,6.35,-0.15,-2.3622,1.4177,16071874,100849354.18,7028841438.6,7028841438.6
2019-10-14,'000795,荎醫貌,6.35,6.38,6.2,6.23,6.33,0.02,0.316,1.8799,21312290,134118083.58,7198894054.05,7198894054.05
2019-10-11,'000795,荎醫貌,6.33,6.39,6.3,6.36,6.41,-0.08,-1.248,1.5534,17610277,111600161.44,7176220371.99,7176220371.99
2019-10-10,'000795,荎醫貌,6.41,6.46,6.35,6.42,6.47,-0.06,-0.9274,2.0932,23730552,151443321.72,7266915100.23,7266915100.23
2019-10-09,'000795,荎醫貌,6.47,6.59,6.29,6.37,6.42,0.05,0.7788,3.2359,36684578,237466730.05,7334936146.41,7334936146.41
2019-10-08,'000795,荎醫貌,6.42,6.45,6.18,6.23,6.2,0.22,3.5484,2.2784,25829697,162918424.1,7278251941.26,7278251941.26
2019-09-30,'000795,荎醫貌,6.2,6.26,6.15,6.15,6.13,0.07,1.1419,1.2297,13940539,86511076.21,7028841438.6,7028841438.6
2019-09-27,'000795,荎醫貌,6.13,6.17,6.07,6.08,6.08,0.05,0.8224,1.4264,16171208,99273670.52,6949483551.39,6949483551.39
2019-09-26,'000795,荎醫貌,6.08,6.4,6.05,6.35,6.36,-0.28,-4.4025,2.6299,29815300,184320793.1,6892799346.24,6892799346.24
2019-09-25,'000795,荎醫貌,6.36,6.45,6.28,6.45,6.52,-0.16,-2.454,2.3528,26673779,169586774.97,7210230895.08,7210230895.08
2019-09-24,'000795,荎醫貌,6.52,6.59,6.42,6.55,6.54,-0.02,-0.3058,2.1751,24658285,160734467.8,7391620351.56,7391620351.56
2019-09-23,'000795,荎醫貌,6.54,6.79,6.5,6.79,6.81,-0.27,-3.9648,3.2311,36630944,240937209.86,7414294033.62,7414294033.62
2019-09-20,'000795,荎醫貌,6.81,6.86,6.77,6.84,6.85,-0.04,-0.5839,2.349,26630012,181307761.54,7720388741.43,7720388741.43
2019-09-19,'000795,荎醫貌,6.85,6.89,6.77,6.84,6.83,0.02,0.2928,2.681,30394114,207451781.9,7765736105.55,7765736105.55
2019-09-18,'000795,荎醫貌,6.83,7.07,6.81,7.05,7.05,-0.22,-3.1206,4.0376,45773634,315510192.28,7743062423.49,7743062423.49
2019-09-17,'000795,荎醫貌,7.05,7.35,7.01,7.15,7.16,-0.11,-1.5363,5.5116,62483623,448696173.26,7992472926.15,7992472926.15
2019-09-16,'000795,荎醫貌,7.16,7.24,7.12,7.18,7.18,-0.02,-0.2786,3.6466,41340533,296205144.58,8117178177.48,8117178177.48
2019-09-12,'000795,荎醫貌,7.18,7.29,7.15,7.25,7.32,-0.14,-1.9126,6.3813,72343664,521023037.93,8139851859.54,8139851859.54
