ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-12-27,'600202,¹þ¿Õµ÷,4.81,4.92,4.79,4.87,4.87,-0.06,-1.232,1.0005,3835339,18646551.0,1843868632.32,1843868632.32
2019-12-26,'600202,¹þ¿Õµ÷,4.87,4.88,4.78,4.8,4.81,0.06,1.2474,0.7763,2975900,14381069.0,1866869072.64,1866869072.64
2019-12-25,'600202,¹þ¿Õµ÷,4.81,4.84,4.75,4.75,4.74,0.07,1.4768,0.7696,2950100,14168769.0,1843868632.32,1843868632.32
2019-12-24,'600202,¹þ¿Õµ÷,4.74,4.76,4.67,4.74,4.68,0.06,1.2821,0.5524,2117403,9987046.0,1817034785.28,1817034785.28
2019-12-23,'600202,¹þ¿Õµ÷,4.68,4.81,4.65,4.81,4.82,-0.14,-2.9046,0.6564,2516300,11864334.0,1794034344.96,1794034344.96
2019-12-20,'600202,¹þ¿Õµ÷,4.82,4.92,4.78,4.87,4.87,-0.05,-1.0267,0.667,2556902,12395047.0,1847702039.04,1847702039.04
2019-12-19,'600202,¹þ¿Õµ÷,4.87,4.88,4.79,4.8,4.8,0.07,1.4583,0.825,3162601,15306309.0,1866869072.64,1866869072.64
2019-12-18,'600202,¹þ¿Õµ÷,4.8,4.86,4.8,4.81,4.81,-0.01,-0.2079,0.5983,2293400,11074385.0,1840035225.6,1840035225.6
2019-12-17,'600202,¹þ¿Õµ÷,4.81,4.82,4.75,4.79,4.77,0.04,0.8386,0.9033,3462844,16594967.0,1843868632.32,1843868632.32
2019-12-16,'600202,¹þ¿Õµ÷,4.77,4.77,4.71,4.71,4.74,0.03,0.6329,0.5139,1969802,9357616.0,1828535005.44,1828535005.44
2019-12-13,'600202,¹þ¿Õµ÷,4.74,4.74,4.68,4.7,4.68,0.06,1.2821,0.4672,1790904,8444804.0,1817034785.28,1817034785.28
2019-12-12,'600202,¹þ¿Õµ÷,4.68,4.71,4.67,4.71,4.71,-0.03,-0.6369,0.3625,1389703,6511744.0,1794034344.96,1794034344.96
2019-12-11,'600202,¹þ¿Õµ÷,4.71,4.75,4.7,4.74,4.74,-0.03,-0.6329,0.4574,1753300,8282532.0,1805534565.12,1805534565.12
2019-12-10,'600202,¹þ¿Õµ÷,4.74,4.76,4.71,4.74,4.75,-0.01,-0.2105,0.2839,1088200,5145067.0,1817034785.28,1817034785.28
2019-12-09,'600202,¹þ¿Õµ÷,4.75,4.81,4.74,4.81,4.79,-0.04,-0.8351,0.4265,1635100,7771502.0,1820868192.0,1820868192.0
2019-12-06,'600202,¹þ¿Õµ÷,4.79,4.81,4.73,4.77,4.76,0.03,0.6303,0.4453,1706900,8143988.0,1836201818.88,1836201818.88
2019-12-05,'600202,¹þ¿Õµ÷,4.76,4.78,4.71,4.72,4.72,0.04,0.8475,0.5214,1998700,9498725.0,1824701598.72,1824701598.72
2019-12-04,'600202,¹þ¿Õµ÷,4.72,4.72,4.66,4.66,4.7,0.02,0.4255,0.269,1031102,4843048.0,1809367971.84,1809367971.84
